                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     91,                0.39143,                0.38096,                0.88468,                0.83183,                0.43795,                0.53156,                0.41177,                    nan,                    nan,                    nan,             0.00015576,             0.00015576,             0.00015576
                     92,                0.38731,                0.37061,                0.90496,                0.83013,                0.43948,                0.50371,                0.40708,                    nan,                    nan,                    nan,             0.00014161,             0.00014161,             0.00014161
                     93,                0.38199,                0.36745,                0.90384,                0.83752,                0.46154,                0.51368,                0.41941,                    nan,                    nan,                    nan,             0.00012747,             0.00012747,             0.00012747
                     94,                0.38077,                0.35852,                0.91094,                0.85491,                0.46154,                0.54755,                0.45064,                    nan,                    nan,                    nan,             0.00011332,             0.00011332,             0.00011332
                     95,                0.36269,                0.35464,                 0.9015,                0.83304,                0.46154,                0.54874,                0.44992,                    nan,                    nan,                    nan,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     96,                0.35228,                 0.3184,                0.88326,                0.73707,                0.45909,                0.54489,                0.45689,                    nan,                    nan,                    nan,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     97,                0.34744,                0.33624,                0.89935,                0.73453,                0.44751,                0.53029,                0.44043,                    nan,                    nan,                    nan,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     98,                 0.3216,                 0.3175,                0.89475,                0.72004,                0.44753,                0.52675,                0.43619,                    nan,                    nan,                    nan,             5.6731e-05,             5.6731e-05,             5.6731e-05
                     99,                0.33495,                0.31367,                0.87908,                0.73851,                0.44367,                0.53504,                0.43901,                    nan,                    nan,                    nan,             4.2584e-05,             4.2584e-05,             4.2584e-05
                    100,                0.33583,                0.31555,                0.89228,                0.58803,                0.47321,                0.52157,                0.43452,                    nan,                    nan,                    nan,             2.8437e-05,             2.8437e-05,             2.8437e-05
